pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P15')","('fear', 'surprise')",P0,P15,fear,surprise,False,True,0.0028899421800587743
"('P0', 'P15')","('anger', 'neutral')",P0,P15,anger,neutral,False,True,0.03751450354391176
"('P0', 'P15')","('anger', 'fear')",P0,P15,anger,fear,False,True,0.08084402139684545
"('P0', 'P15')","('anger', 'anger')",P0,P15,anger,anger,True,True,0.094838084846608
"('P0', 'P15')","('anger', 'disgust')",P0,P15,anger,disgust,False,True,-0.027866819756402022
"('P0', 'P15')","('anger', 'sadness')",P0,P15,anger,sadness,False,True,0.06399056850174858
"('P0', 'P15')","('anger', 'happiness')",P0,P15,anger,happiness,False,True,-0.017567537613765224
"('P0', 'P15')","('anger', 'surprise')",P0,P15,anger,surprise,False,True,0.008333315150311263
"('P0', 'P15')","('disgust', 'neutral')",P0,P15,disgust,neutral,False,True,0.03579380446980137
"('P0', 'P15')","('disgust', 'fear')",P0,P15,disgust,fear,False,True,0.06978366735272477
"('P0', 'P15')","('disgust', 'anger')",P0,P15,disgust,anger,False,True,0.03888884910246655
"('P0', 'P15')","('disgust', 'disgust')",P0,P15,disgust,disgust,True,True,-0.028719281240431504
"('P0', 'P15')","('disgust', 'sadness')",P0,P15,disgust,sadness,False,True,0.04598580352163326
"('P0', 'P15')","('disgust', 'happiness')",P0,P15,disgust,happiness,False,True,-0.0010908261780952677
"('P0', 'P15')","('disgust', 'surprise')",P0,P15,disgust,surprise,False,True,-0.03761263796479001
"('P0', 'P15')","('sadness', 'neutral')",P0,P15,sadness,neutral,False,True,0.02095156833332083
"('P0', 'P15')","('sadness', 'fear')",P0,P15,sadness,fear,False,True,0.08218429402240528
"('P0', 'P15')","('sadness', 'anger')",P0,P15,sadness,anger,False,True,0.0493281736294218
"('P0', 'P15')","('sadness', 'disgust')",P0,P15,sadness,disgust,False,True,-0.008996158242558535
"('P0', 'P15')","('sadness', 'sadness')",P0,P15,sadness,sadness,True,True,0.04719145906089636
"('P0', 'P15')","('sadness', 'happiness')",P0,P15,sadness,happiness,False,True,0.0016193455203345896
